Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),27142772912954.066,28014229028706.555,28885685144459.098,20391340089713.04,21037216406647.625,21524672232967.89,22037600655448.09,22658356461146.652,23308182251852.867,23988859786283.51,24702283129550.92,25450465783826.902,26214677568424.246,27017976768494.37,27862782683699.668,28751667429529.04,29687365656822.625,30651450269579.727,31668258239918.887,32741076560579.637,33873400266596.598,35068945688999.438,36310580484973.32,37623503757730.625,39012184012862.336,40481373118376.47,42036124384593.92,43661373466101.52,45383190274398.11,47207652897024.11,49141225547043.5,51190783235452.555,53313679764889.28,55567448247593.14,57960360478038.13,60501214630542.16,63199368939464.4,66064777543838.7,69108028636020.12,72340385062945.67,75773827538221.94,79421100633483.78
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),2017203787648.6472,2067638832346.525,2118073877044.3884,2184916719936.2004,2222666573088.8433,2262501812109.418,2304558538928.748,2358691764983.263,2415345910345.723,2474685501874.4604,2536885804211.8438,2602133520581.7544,2668145203817.803,2737615058140.01,2810768779794.413,2887846795008.366,2969105221337.275,3052305859579.253,3140250381222.59,3233248394048.01,3331629712272.5566,3435745675315.133,3543514639205.802,3657791213380.9316,3779000114598.4,3907593778596.8677,4044054169164.715,4186538344944.153,4337949593341.413,4498870536421.1,4669921820859.545,4851764599606.91,5039401710801.384,5239284888069.323,5452213366345.23,5679038542333.49,5920667378826.835,6178066031206.36,6452263710623.738,6744356799312.56,7055513234483.933,7386977178335.415
petroleum diesel (BTU),874045186837.5745,894548729532.754,915052272227.9336,940314725031.5956,965609899436.6588,978989084085.996,992934139276.4845,1012285601365.5934,1032300743120.6915,1053020391180.4172,1074488034787.0651,1096749999463.8389,1118612343410.9055,1141364912342.5918,1165063699734.1597,1189768350988.776,1215542401655.9543,1241180675905.5112,1268022045169.7744,1296143305294.74,1325626261032.1375,1356558052786.468,1387771729065.9922,1420619999971.143,1455208193563.6133,1491648508085.9207,1530060460140.4055,1569348394924.5432,1610865193177.8274,1654755317721.7373,1701172654564.5742,1750281127645.9744,1799261755796.608,1851280344563.5183,1906535034485.7632,1965236891129.4016,2027610748307.499,2093896106316.2048,2164348088776.7107,2239238461907.107,2318856720297.708,2403511243529.2217
heat (BTU),4089541145545.8047,4370342227609.414,4651143309673.023,5091318450219.724,5288576006761.151,5498220264207.966,5721059635974.515,5970460080912.844,6234834192813.384,6515159222465.25,6812476200565.789,7127894100292.505,7459397465670.433,7811441552831.584,8185366944321.451,8582601715305.32,9004667143741.479,9449950031158.414,9923410468699.879,10426887453664.53,10962340004823.766,11531854995578.385,12134492719403.688,12775784115646.137,13458251901818.22,14184583439649.898,14957641480532.055,15777441039963.426,16650265308240.277,17579574923207.19,18569056379946.855,19622636771268.473,20737157019466.086,21924416015946.26,23189161027984.113,24536449151482.715,25971667531822.996,27500554904419.727,29129224541113.992,30864188694153.34,32712384635499.16,34681202395579.83
biomass (BTU),6060197738717.037,6388858225239.694,6717518711762.237,7049558759713.671,7368080561950.125,7706879732758.923,8067279667036.4795,8463800549275.225,8884833734361.31,9331979008596.99,9806940567740.799,10311533831251.797,10844341067085.664,11410774026953.871,12013027281193.13,12653438627954.586,13334498440913.742,14055469246813.473,14822567473864.736,15638803611003.459,16507384625603.068,17431726786566.396,18412153365067.26,19455857063784.73,20566967640367.363,21749884379556.27,23009293683770.25,24347006268463.38,25771521753534.4,27288505297899.004,28903991794956.383,30624410003172.438,32448910168847.45,34392485657296.676,36462907875045.88,38668455426569.01,41017947216373.055,43520777711478.22,46186954505290.664,49027138333067.32,52052685698975.26,55275694285190.01
kerosene (BTU),589338205153.0834,594041390831.989,598744576510.8947,607829998269.281,609908437992.2712,611986877715.2616,614065317438.252,619625114676.7671,625184911915.2822,630744709153.7974,636304506392.3125,641864303630.8278,646534103602.301,651203903573.7747,655873703545.2482,660543503516.7216,665213303488.1951,668982817512.6501,672752331537.1051,676521845561.56,680291359586.015,684060873610.47,686949863535.5228,689838853460.5753,692727843385.628,695616833310.6808,698505823235.7333,700549982052.717,702594140869.7008,704638299686.6844,706682458503.668,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517,708726617320.6517
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),400222471202.87085,403359686215.60626,406496901228.3417,412420895792.8263,413831145327.8078,415241394862.78925,416651644397.7708,420424042213.05444,424196440028.3381,427968837843.62177,431741235658.9054,435513633474.1891,438682156075.7261,441850678677.26306,445019201278.8,448187723880.3369,451356246481.87396,453913912860.78906,456471579239.7042,459029245618.61926,461586911997.53436,464144578376.4494,466104797214.314,468065016052.1788,470025234890.0432,471985453727.90796,473945672565.77264,475332662041.19135,476719651516.6099,478106640992.02856,479493630467.44714,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657,480880619942.8657
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
