Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),2.79E+14,2.86E+14,2.93E+14,3.11E+14,1.26E+14,1.78E+14,2.30E+14,2.81E+14,3.32E+14,3.62E+14,3.90E+14,3.97E+14,4.10E+14,4.16E+14,4.21E+14,4.26E+14,4.31E+14,4.38E+14,4.42E+14,4.46E+14,4.51E+14,4.55E+14,4.61E+14,4.64E+14,4.67E+14,4.71E+14,4.74E+14,4.77E+14,4.80E+14,4.83E+14,4.86E+14,4.89E+14,4.91E+14,4.93E+14,4.95E+14,4.97E+14,4.99E+14,5.01E+14,5.04E+14,5.07E+14,5.10E+14,5.13E+14
coal (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
natural gas (BTU),7.57E+11,1.12E+12,1.49E+12,1.99E+12,2.25E+12,2.53E+12,2.85E+12,3.20E+12,3.61E+12,4.06E+12,4.57E+12,5.15E+12,5.79E+12,6.52E+12,7.34E+12,8.26E+12,9.30E+12,1.05E+13,1.18E+13,1.33E+13,1.49E+13,1.68E+13,1.89E+13,2.13E+13,2.40E+13,2.70E+13,3.04E+13,3.42E+13,3.85E+13,4.34E+13,4.88E+13,5.50E+13,6.19E+13,6.97E+13,7.84E+13,8.83E+13,9.94E+13,1.12E+14,1.26E+14,1.42E+14,1.60E+14,1.80E+14
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),9.40E+13,8.95E+13,8.49E+13,9.49E+13,8.42E+13,7.48E+13,6.64E+13,5.90E+13,5.24E+13,4.66E+13,4.14E+13,3.68E+13,3.28E+13,2.92E+13,2.60E+13,2.32E+13,2.07E+13,1.85E+13,1.65E+13,1.48E+13,1.32E+13,1.19E+13,1.07E+13,9.58E+12,8.63E+12,7.79E+12,7.05E+12,6.39E+12,5.80E+12,5.29E+12,4.83E+12,4.42E+12,4.06E+12,3.74E+12,3.46E+12,3.21E+12,2.99E+12,2.79E+12,2.62E+12,2.46E+12,2.33E+12,2.21E+12
kerosene (BTU),9.68E+12,9.38E+12,9.08E+12,9.89E+12,8.88E+12,8.41E+12,7.96E+12,7.54E+12,7.14E+12,6.76E+12,6.40E+12,6.06E+12,5.74E+12,5.44E+12,5.15E+12,4.88E+12,4.62E+12,4.37E+12,4.14E+12,3.92E+12,3.71E+12,3.52E+12,3.33E+12,3.15E+12,2.99E+12,2.83E+12,2.68E+12,2.54E+12,2.40E+12,2.28E+12,2.15E+12,2.04E+12,1.93E+12,1.83E+12,1.73E+12,1.64E+12,1.55E+12,1.47E+12,1.39E+12,1.32E+12,1.25E+12,1.18E+12
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),3.59E+14,3.64E+14,3.69E+14,3.75E+14,3.81E+14,3.86E+14,3.90E+14,3.97E+14,4.02E+14,4.08E+14,4.13E+14,4.17E+14,4.21E+14,4.24E+14,4.26E+14,4.29E+14,4.30E+14,4.31E+14,4.32E+14,4.31E+14,4.31E+14,4.29E+14,4.26E+14,4.23E+14,4.19E+14,4.14E+14,4.07E+14,3.99E+14,3.90E+14,3.80E+14,3.68E+14,3.54E+14,3.37E+14,3.18E+14,2.96E+14,2.71E+14,2.44E+14,2.13E+14,1.78E+14,1.39E+14,9.53E+13,4.60E+13
hydrogen (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
